Day;Month;Year;SolarHours;AverageTemperatur;Rain;AverageAirPressure;AverageHumidity;EnergyProduction
12;2;2018;0.05;2.241666667;3.1;990.6541667;89.08333333;1175
13;2;2018;0.03;2.075;0;1009.7;91;2773
14;2;2018;4.63;1.491666667;0;1018.758333;90.5;7828
15;2;2018;0.63;1.045833333;3.3;1013.95;79.83333333;6283
16;2;2018;0.32;2.125;0;1013.545833;91.45833333;2238
17;2;2018;0.89;0.7625;0;1023.6875;89.79166667;4022
18;2;2018;0;2.195833333;6.1;1023.129167;92.625;3800
19;2;2018;0;1.191666667;7.7;1020.295833;96.75;14
20;2;2018;1.64;0.720833333;1.5;1026.291667;88.58333333;1602
21;2;2018;0;0.191666667;3.2;1026.820833;93.58333333;10
22;2;2018;2.19;-3.029166667;0;1029.779167;85.375;7
23;2;2018;0;-1.320833333;0;1029.7375;85.875;0
24;2;2018;7.72;-2.829166667;0;1037.433333;65.29166667;129
25;2;2018;9.47;-5.216666667;0;1039.6625;69.66666667;405
26;2;2018;9.69;-4.654166667;0;1037.270833;74.875;1206
27;2;2018;7.29;-6.825;0;1035.35;67.70833333;1941
28;2;2018;7.13;-8.0625;0;1039.433333;73.54166667;2467
1;3;2018;5.53;-6.2875;0;1030.366667;75.95833333;2813
2;3;2018;1.35;-3.666666667;0;1016.766667;78.29166667;2143
3;3;2018;0.06;-1.679166667;0;1011.475;77.625;3308
4;3;2018;0.44;-1.4625;0;1008.045833;72.25;5998
5;3;2018;0;-1.108333333;8.8;1000.320833;85.58333333;2565
6;3;2018;0;0.5375;0;997.7416667;99.54166667;169
7;3;2018;5.13;1.225;5.1;998.8875;91.5;9296
