Date;SunshineTime;System Production (Wh)
2018-12-28;5,44;1685
2018-12-29;0;263
2018-12-30;5,35;1372
2018-12-31;0;158
2019-01-01;3,66;1435
2019-01-02;6,09;1276
2019-01-03;2,6;1647
2019-01-04;4,25;1520
2019-01-05;5,43;1454
2019-01-06;1,45;1102
2019-01-07;0;564
2019-01-08;0;938
2019-01-09;6,15;1436
2019-01-10;0;1013
2019-01-11;1,56;2339
2019-01-12;0,51;1149
2019-01-13;0;949
2019-01-14;5,06;2755
2019-01-15;0;23
2019-01-16;0;127
2019-01-17;1,67;2685
2019-01-18;6,1;2263
2019-01-19;0,8;2300
2019-01-20;0,72;2899
2019-01-21;0;790
2019-01-22;0,05;1532
2019-01-23;1,07;3333
2019-01-24;0;1836
2019-01-25;1,03;2097
2019-01-26;0;1222
2019-01-27;0;444
2019-01-28;0;18
2019-01-29;7,41;467
2019-01-30;2,28;302
2019-01-31;0;249
2019-02-01;0;112
2019-02-02;0;112
2019-02-03;3,54;951
2019-02-04;0,05;415
2019-02-05;0;3196
2019-02-06;0;128
2019-02-07;0;745
2019-02-08;0,16;3902
2019-02-09;0,53;3915
2019-02-10;0;2270
2019-02-11;7,17;5720
2019-02-12;4,57;7337
2019-02-13;7,23;7978
2019-02-14;0;1671
2019-02-15;2,53;3889
2019-02-16;6,67;7055
2019-02-17;0;2268
2019-02-18;3,26;8171
2019-02-19;1,24;3667
2019-02-20;7,6;9503
2019-02-21;0;1260
2019-02-22;5,28;10369
2019-02-23;1,19;10040
2019-02-24;0;3039
2019-02-25;5,26;11597
2019-02-26;7,51;11607
2019-02-27;7,63;12026
2019-02-28;10,16;12365
2019-03-01;6,46;12572
2019-03-02;0,25;3059
2019-03-03;1,21;10760
2019-03-04;0,47;2902
2019-03-05;0;5765
2019-03-06;0;3685
2019-03-07;0;1049
2019-03-08;1,2;7018
2019-03-09;0;3734
2019-03-10;4,11;15940
2019-03-11;10,79;17052
2019-03-12;0;6452
2019-03-13;0;4933
2019-03-14;0,41;8568
2019-03-15;0;5888
2019-03-16;1,3;11381
2019-03-17;1,5;14068
2019-03-18;0,63;11343
2019-03-19;11,51;20177
2019-03-20;3,06;12506
2019-03-21;0;3363
2019-03-22;3,81;13599
2019-03-23;9,03;18065
2019-03-24;3,94;16154
2019-03-25;6,1;16441
2019-03-26;10,08;21942
2019-03-27;6,53;14472
2019-03-28;8,22;20047
2019-03-29;7,89;22540
2019-03-30;0,71;9055
2019-03-31;12,44;25216
2019-04-01;12,45;25604
2019-04-02;12;25942
2019-04-03;1,04;13418
2019-04-04;9,67;24067
2019-04-05;4,26;22602
2019-04-06;2,23;11311
2019-04-07;12,43;24540
2019-04-08;12,36;24035
2019-04-09;13,35;28560
2019-04-10;1,9;12805
